,BLDG/RM,COURSE,CREDIT,CRN,DAY/TIME,FROM / TO,INSTR.,SECT,STATUS,SUBJ
440,BELL 105ANDCOR 402,Laboratory,0.00,90113,R08:00AM - 08:50AMANDR09:00AM - 11:50AM,01/13/14 - 04/28/14,"Mills, A",36,CLOSED,CHEM
441,BELL 105ANDCOR 402,Laboratory,0.00,90564,R12:45PM - 01:35PMANDR01:45PM - 04:35PM,01/13/14 - 04/28/14,"Mills, A",37,CLOSED,CHEM
442,BELL 106ANDCOR 402,Laboratory,0.00,90568,R12:45PM - 01:35PMANDR01:45PM - 04:35PM,01/13/14 - 04/28/14,"Mills, A",38,OPEN,CHEM
443,BELL 105ANDCOR 402,Laboratory,0.00,91076,R06:10PM - 07:00PMANDR07:10PM - 10:00PM,01/13/14 - 04/28/14,"Mills, A",39,CLOSED,CHEM
444,BELL 106ANDCOR 402,Laboratory,0.00,91077,R06:10PM - 07:00PMANDR07:10PM - 10:00PM,01/13/14 - 04/28/14,"Mills, A",40,CLOSED,CHEM
445,BELL 106ANDCOR 402,Laboratory,0.00,90834,F09:00AM - 09:50AMANDF10:00AM - 12:50PM,01/13/14 - 04/28/14,"Mills, A",41,CLOSED,CHEM
446,FNGR 103,General Chemistry II,4.00,90097,TR04:45PM - 06:00PM,01/13/14 - 04/28/14,"Cahill, C",11,CLOSED,CHEM
447,BELL 105ANDCOR 402,Laboratory,0.00,90098,M09:35AM - 10:25AMANDM10:35AM - 01:25PM,01/13/14 - 04/28/14,"Mills, A; Yonel, E",30,CLOSED,CHEM
448,BELL 106ANDCOR 402,Laboratory,0.00,90099,M09:35AM - 10:25AMANDM10:35AM - 01:25PM,01/13/14 - 04/28/14,"Mills, A",31,OPEN,CHEM
449,BELL 105ANDCOR 402,Laboratory,0.00,90835,F09:00AM - 09:50AMANDF10:00AM - 12:50PM,01/13/14 - 04/28/14,"Mills, A",32,CLOSED,CHEM
450,BELL 105ANDCOR 402,Laboratory,0.00,90100,M12:45PM - 01:35PMANDM01:45PM - 04:35PM,01/13/14 - 04/28/14,"Mills, A",33,CLOSED,CHEM
451,BELL 105ANDCOR 402,Laboratory,0.00,93682,M06:10PM - 07:00PMANDM07:10PM - 10:00PM,01/13/14 - 04/28/14,"Mills, A",34,CLOSED,CHEM
452,BELL 106ANDCOR 402,Laboratory,0.00,94204,M06:10PM - 07:00PMANDM07:10PM - 10:00PM,01/13/14 - 04/28/14,"Mills, A",35,CLOSED,CHEM
453,BELL 105ANDCOR 402,Laboratory,0.00,90113,R08:00AM - 08:50AMANDR09:00AM - 11:50AM,01/13/14 - 04/28/14,"Mills, A",36,CLOSED,CHEM
454,BELL 105ANDCOR 402,Laboratory,0.00,90564,R12:45PM - 01:35PMANDR01:45PM - 04:35PM,01/13/14 - 04/28/14,"Mills, A",37,CLOSED,CHEM
455,BELL 106ANDCOR 402,Laboratory,0.00,90568,R12:45PM - 01:35PMANDR01:45PM - 04:35PM,01/13/14 - 04/28/14,"Mills, A",38,OPEN,CHEM
456,BELL 105ANDCOR 402,Laboratory,0.00,91076,R06:10PM - 07:00PMANDR07:10PM - 10:00PM,01/13/14 - 04/28/14,"Mills, A",39,CLOSED,CHEM
457,BELL 106ANDCOR 402,Laboratory,0.00,91077,R06:10PM - 07:00PMANDR07:10PM - 10:00PM,01/13/14 - 04/28/14,"Mills, A",40,CLOSED,CHEM
458,BELL 106ANDCOR 402,Laboratory,0.00,90834,F09:00AM - 09:50AMANDF10:00AM - 12:50PM,01/13/14 - 04/28/14,"Mills, A",41,CLOSED,CHEM
459,FNGR 220,General Chemistry II,4.00,90563,MW12:45PM - 02:00PM,01/13/14 - 04/28/14,"McClary, L",12,OPEN,CHEM
460,BELL 105ANDCOR 402,Laboratory,0.00,90098,M09:35AM - 10:25AMANDM10:35AM - 01:25PM,01/13/14 - 04/28/14,"Mills, A; Yonel, E",30,CLOSED,CHEM
461,BELL 106ANDCOR 402,Laboratory,0.00,90099,M09:35AM - 10:25AMANDM10:35AM - 01:25PM,01/13/14 - 04/28/14,"Mills, A",31,OPEN,CHEM
462,BELL 105ANDCOR 402,Laboratory,0.00,90835,F09:00AM - 09:50AMANDF10:00AM - 12:50PM,01/13/14 - 04/28/14,"Mills, A",32,CLOSED,CHEM
463,BELL 105ANDCOR 402,Laboratory,0.00,90100,M12:45PM - 01:35PMANDM01:45PM - 04:35PM,01/13/14 - 04/28/14,"Mills, A",33,CLOSED,CHEM
464,BELL 105ANDCOR 402,Laboratory,0.00,93682,M06:10PM - 07:00PMANDM07:10PM - 10:00PM,01/13/14 - 04/28/14,"Mills, A",34,CLOSED,CHEM
465,BELL 106ANDCOR 402,Laboratory,0.00,94204,M06:10PM - 07:00PMANDM07:10PM - 10:00PM,01/13/14 - 04/28/14,"Mills, A",35,CLOSED,CHEM
466,BELL 105ANDCOR 402,Laboratory,0.00,90113,R08:00AM - 08:50AMANDR09:00AM - 11:50AM,01/13/14 - 04/28/14,"Mills, A",36,CLOSED,CHEM
467,BELL 105ANDCOR 402,Laboratory,0.00,90564,R12:45PM - 01:35PMANDR01:45PM - 04:35PM,01/13/14 - 04/28/14,"Mills, A",37,CLOSED,CHEM
468,BELL 106ANDCOR 402,Laboratory,0.00,90568,R12:45PM - 01:35PMANDR01:45PM - 04:35PM,01/13/14 - 04/28/14,"Mills, A",38,OPEN,CHEM
469,BELL 105ANDCOR 402,Laboratory,0.00,91076,R06:10PM - 07:00PMANDR07:10PM - 10:00PM,01/13/14 - 04/28/14,"Mills, A",39,CLOSED,CHEM
470,BELL 106ANDCOR 402,Laboratory,0.00,91077,R06:10PM - 07:00PMANDR07:10PM - 10:00PM,01/13/14 - 04/28/14,"Mills, A",40,CLOSED,CHEM
471,BELL 106ANDCOR 402,Laboratory,0.00,90834,F09:00AM - 09:50AMANDF10:00AM - 12:50PM,01/13/14 - 04/28/14,"Mills, A",41,CLOSED,CHEM
472,BELL 108,Intro Quantitative Analysis,3.00,91315,WF11:10AM - 12:25PM,01/13/14 - 04/28/14,"Nemes, P",10,OPEN,CHEM
473,COR 405,Intro Quantitative Analysis,1.00,92423,T09:00AM - 12:50PM,01/13/14 - 04/28/14,"McClary, L",10,CLOSED,CHEM
474,COR 405,Intro Quantitative Analysis,1.00,95033,R09:00AM - 12:50PM,01/13/14 - 04/28/14,"Metaferia, B",11,CLOSED,CHEM
475,MPA 310,Organic Chemistry  II,3.00,90104,MW09:35AM - 10:50AM,01/13/14 - 04/28/14,"Dowd, C",10,WAITLIST,CHEM
476,MPA 309,Organic Chemistry II,3.00,90105,MW03:45PM - 05:00PM,01/13/14 - 04/28/14,"McClary, L",11,OPEN,CHEM
477,DUQUES 151,Organic Chemistry II,3.00,90906,MW02:20PM - 03:35PM,01/13/14 - 04/28/14,"Voutchkova, A",12,OPEN,CHEM
478,BELL 105ANDCOR 403,Organic Chem Laboratory II,1.00,91137,T09:35AM - 10:25AMANDT10:35AM - 01:25PM,01/13/14 - 04/28/14,"King, M",10,WAITLIST,CHEM
479,BELL 105ANDCOR 403,Organic Chem Laboratory II,1.00,90106,T12:45PM - 01:35PMANDT01:45PM - 04:35PM,01/13/14 - 04/28/14,"King, M",11,WAITLIST,CHEM
480,BELL 105ANDCOR 403,Organic Chem Laboratory II,1.00,91812,T05:00PM - 05:50PMANDT06:00PM - 08:50PM,01/13/14 - 04/28/14,"King, M",12,WAITLIST,CHEM
481,BELL 105ANDCOR 403,Organic Chem Laboratory II,1.00,91078,W09:35AM - 10:25AMANDW10:35AM - 01:25PM,01/13/14 - 04/28/14,"King, M",13,OPEN,CHEM
482,BELL 105ANDCOR 403,Organic Chem Laboratory II,1.00,90108,W02:20PM - 03:10PMANDW03:20PM - 06:10PM,01/13/14 - 04/28/14,"King, M",14,OPEN,CHEM
483,BELL 105ANDCOR 403,Organic Chem Laboratory II,1.00,90109,W06:10PM - 07:00PMANDW07:10PM - 10:00PM,01/13/14 - 04/28/14,"King, M",15,OPEN,CHEM
484,ROME 459AND1957 E 316,Beginning Chinese II,4.00,90115,T09:35AM - 10:50AMANDR09:35AM - 10:50AM,01/13/14 - 04/28/14,"Dong, H; Mo, D",10,OPEN,CHIN
485,ROME 350,Drill,0.00,94714,MW03:55PM - 04:45PM,01/13/14 - 04/28/14,"Dong, H; Mo, D",30,OPEN,CHIN
486,ROME 459,Drill,0.00,91982,MW11:10AM - 12:00PM,01/13/14 - 04/28/14,"Chen, X",31,OPEN,CHIN
487,ROME 459,Drill,0.00,91981,MW09:35AM - 10:25AM,01/13/14 - 04/28/14,"Chen, X",32,OPEN,CHIN
488,ROME 350,Drill,0.00,92051,MW11:10AM - 12:00PM,01/13/14 - 04/28/14,"Mo, D; Dong, H",33,OPEN,CHIN
489,ROME 459,Drill,0.00,93134,MW02:20PM - 03:10PM,01/13/14 - 04/28/14,"Li, H; Dong, H",34,CLOSED,CHIN
490,ROME 350,Drill,0.00,95500,MW02:20PM - 03:10PM,01/13/14 - 04/28/14,"Dong, H; Mo, D",35,OPEN,CHIN
491,ROME 350,Drill,0.00,92052,MW12:45PM - 01:35PM,01/13/14 - 04/28/14,"Mo, D",36,OPEN,CHIN
492,DUQUES 250,Drill,0.00,98055,MW09:35AM - 10:25AM,01/13/14 - 04/28/14,"Li, H; Dong, H",37,OPEN,CHIN
493,PHIL 510,Drill,0.00,98056,MW12:45PM - 01:35PM,01/13/14 - 04/28/14,"Dong, H; Chen, X",38,CLOSED,CHIN
494,PHIL 111AND1957 E 314,Beginning Chinese II,4.00,90116,T11:10AM - 12:25PMANDR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Dong, H; Li, H",11,OPEN,CHIN
495,ROME 350,Drill,0.00,94714,MW03:55PM - 04:45PM,01/13/14 - 04/28/14,"Dong, H; Mo, D",30,OPEN,CHIN
496,ROME 459,Drill,0.00,91982,MW11:10AM - 12:00PM,01/13/14 - 04/28/14,"Chen, X",31,OPEN,CHIN
497,ROME 459,Drill,0.00,91981,MW09:35AM - 10:25AM,01/13/14 - 04/28/14,"Chen, X",32,OPEN,CHIN
498,ROME 350,Drill,0.00,92051,MW11:10AM - 12:00PM,01/13/14 - 04/28/14,"Mo, D; Dong, H",33,OPEN,CHIN
499,ROME 459,Drill,0.00,93134,MW02:20PM - 03:10PM,01/13/14 - 04/28/14,"Li, H; Dong, H",34,CLOSED,CHIN
500,ROME 350,Drill,0.00,95500,MW02:20PM - 03:10PM,01/13/14 - 04/28/14,"Dong, H; Mo, D",35,OPEN,CHIN
501,ROME 350,Drill,0.00,92052,MW12:45PM - 01:35PM,01/13/14 - 04/28/14,"Mo, D",36,OPEN,CHIN
502,DUQUES 250,Drill,0.00,98055,MW09:35AM - 10:25AM,01/13/14 - 04/28/14,"Li, H; Dong, H",37,OPEN,CHIN
503,PHIL 510,Drill,0.00,98056,MW12:45PM - 01:35PM,01/13/14 - 04/28/14,"Dong, H; Chen, X",38,CLOSED,CHIN
504,MPA 305,Beginning Chinese II,4.00,92728,TR02:20PM - 03:35PM,01/13/14 - 04/28/14,"Chen, X; Dong, H",12,CLOSED,CHIN
505,ROME 350,Drill,0.00,94714,MW03:55PM - 04:45PM,01/13/14 - 04/28/14,"Dong, H; Mo, D",30,OPEN,CHIN
506,ROME 459,Drill,0.00,91982,MW11:10AM - 12:00PM,01/13/14 - 04/28/14,"Chen, X",31,OPEN,CHIN
507,ROME 459,Drill,0.00,91981,MW09:35AM - 10:25AM,01/13/14 - 04/28/14,"Chen, X",32,OPEN,CHIN
508,ROME 350,Drill,0.00,92051,MW11:10AM - 12:00PM,01/13/14 - 04/28/14,"Mo, D; Dong, H",33,OPEN,CHIN
509,ROME 459,Drill,0.00,93134,MW02:20PM - 03:10PM,01/13/14 - 04/28/14,"Li, H; Dong, H",34,CLOSED,CHIN
510,ROME 350,Drill,0.00,95500,MW02:20PM - 03:10PM,01/13/14 - 04/28/14,"Dong, H; Mo, D",35,OPEN,CHIN
511,ROME 350,Drill,0.00,92052,MW12:45PM - 01:35PM,01/13/14 - 04/28/14,"Mo, D",36,OPEN,CHIN
512,DUQUES 250,Drill,0.00,98055,MW09:35AM - 10:25AM,01/13/14 - 04/28/14,"Li, H; Dong, H",37,OPEN,CHIN
513,PHIL 510,Drill,0.00,98056,MW12:45PM - 01:35PM,01/13/14 - 04/28/14,"Dong, H; Chen, X",38,CLOSED,CHIN
514,2020 K 21,Beginning Chinese II,4.00,92478,TR12:45PM - 02:00PM,01/13/14 - 04/28/14,"Dong, H",13,CLOSED,CHIN
515,ROME 350,Drill,0.00,94714,MW03:55PM - 04:45PM,01/13/14 - 04/28/14,"Dong, H; Mo, D",30,OPEN,CHIN
516,ROME 459,Drill,0.00,91982,MW11:10AM - 12:00PM,01/13/14 - 04/28/14,"Chen, X",31,OPEN,CHIN
517,ROME 459,Drill,0.00,91981,MW09:35AM - 10:25AM,01/13/14 - 04/28/14,"Chen, X",32,OPEN,CHIN
518,ROME 350,Drill,0.00,92051,MW11:10AM - 12:00PM,01/13/14 - 04/28/14,"Mo, D; Dong, H",33,OPEN,CHIN
519,ROME 459,Drill,0.00,93134,MW02:20PM - 03:10PM,01/13/14 - 04/28/14,"Li, H; Dong, H",34,CLOSED,CHIN
520,ROME 350,Drill,0.00,95500,MW02:20PM - 03:10PM,01/13/14 - 04/28/14,"Dong, H; Mo, D",35,OPEN,CHIN
521,ROME 350,Drill,0.00,92052,MW12:45PM - 01:35PM,01/13/14 - 04/28/14,"Mo, D",36,OPEN,CHIN
522,DUQUES 250,Drill,0.00,98055,MW09:35AM - 10:25AM,01/13/14 - 04/28/14,"Li, H; Dong, H",37,OPEN,CHIN
523,PHIL 510,Drill,0.00,98056,MW12:45PM - 01:35PM,01/13/14 - 04/28/14,"Dong, H; Chen, X",38,CLOSED,CHIN
524,ROME 351,Intermediate Chinese II,4.00,91042,TR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Wei, M",10,CLOSED,CHIN
525,ROME 351,Drill,0.00,93259,MW11:10AM - 12:00PM,01/13/14 - 04/28/14,"Wei, M",30,CLOSED,CHIN
526,GELM 609AND1957 E 111,Drill,0.00,92135,M12:45PM - 01:35PMANDW12:45PM - 01:35PM,01/13/14 - 04/28/14,"Wei, M",31,OPEN,CHIN
527,ROME 351,Drill,0.00,93163,MW02:20PM - 03:10PM,01/13/14 - 04/28/14,"Wei, M",32,CLOSED,CHIN
528,ROME 351,Intermediate Chinese II,4.00,94089,TR09:35AM - 10:50AM,01/13/14 - 04/28/14,"Wei, M",11,CLOSED,CHIN
529,ROME 351,Drill,0.00,93259,MW11:10AM - 12:00PM,01/13/14 - 04/28/14,"Wei, M",30,CLOSED,CHIN
530,GELM 609AND1957 E 111,Drill,0.00,92135,M12:45PM - 01:35PMANDW12:45PM - 01:35PM,01/13/14 - 04/28/14,"Wei, M",31,OPEN,CHIN
531,ROME 351,Drill,0.00,93163,MW02:20PM - 03:10PM,01/13/14 - 04/28/14,"Wei, M",32,CLOSED,CHIN
532,ROME 352,Intermediate Chinese IV,3.00,94388,TR02:20PM - 03:35PM,01/13/14 - 04/28/14,"Zhang, H; Zhang, P",10,CLOSED,CHIN
533,MON 115,Intermediate Chinese IV,3.00,92363,TR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Zhang, P",11,OPEN,CHIN
534,1957 E B14,Intermediate Chinese IV,3.00,92730,TR12:45PM - 02:00PM,01/13/14 - 04/28/14,"Zhang, P",12,OPEN,CHIN
535,ROME B103,Intro to Classical Chinese,3.00,90845,TR02:20PM - 03:35PM,01/13/14 - 04/28/14,"Chaves, J",10,OPEN,CHIN
536,MPA 309,Chinese Lit in Translation,3.00,92136,TR12:45PM - 02:00PM,01/13/14 - 04/28/14,"Chaves, J",10,CLOSED,CHIN
537,ROME 459,Intro to Chinese Linguistics,3.00,93802,TR03:45PM - 05:00PM,01/13/14 - 04/28/14,"Dong, H",10,CLOSED,CHIN
538,ROME 459,"Chinese Women-Myth,Lit, Film",3.00,93803,W07:10PM - 09:40PM,01/13/14 - 04/28/14,"Zhang, X",80,CLOSED,CHIN
539,ROME 459,"Chinese Women in Myth,Lit,Film",3.00,93813,W07:10PM - 09:40PM,01/13/14 - 04/28/14,"Zhang, X",80,CLOSED,WSTU
540,PHIL 109,Chinese Culture Through Film,3.00,92137,M07:10PM - 10:00PM,01/13/14 - 04/28/14,"Yang, C",10,CLOSED,CHIN
541,PHIL 109,Chinese Culture Through Film,3.00,92138,R07:10PM - 10:00PM,01/13/14 - 04/28/14,"Zhang, X",11,CLOSED,CHIN
542,ROME 470,Poetry of Tang and Song Period,3.00,94390,F09:30AM - 12:00PM,01/13/14 - 04/28/14,"Chaves, J",10,OPEN,CHIN
543,BELL 106,Readings in Modern Chinese,3.00,91040,TR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Zhang, H",10,OPEN,CHIN
544,,Business Chinese,3.00,95739,,01/13/14 - 04/28/14,,10,CANCELLED,CHIN
545,ROME 470,Business Chinese,3.00,96096,TR03:45PM - 05:00PM,01/13/14 - 04/28/14,"Zhang, P",11,CLOSED,CHIN
546,,20th Ct Chinese Literature,3.00,92908,,01/13/14 - 04/28/14,,80,CANCELLED,CHIN
547,,20th Ct Chinese Literature,3.00,95740,,01/13/14 - 04/28/14,,80,CANCELLED,CHIN
548,DUQUES 259,Intro to a Sustainable World,1.00,95111,MW06:00PM - 06:50PM,01/13/14 - 04/28/14,"Subramanian, V",10,OPEN,"CE
	"
549,TOMP 201,Engineering Computations,3.00,92870,MW11:10AM - 12:25PM,01/13/14 - 04/28/14,"Hamdar, S",10,OPEN,"CE
	"
550,2020 K 14,Intro to Mechanics of Solids,3.00,90074,TR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Li, T",10,OPEN,"CE
	"
551,DUQUES 359,Intro to Transportation Engine,3.00,94077,MW02:20PM - 03:35PM,01/13/14 - 04/28/14,"Hamdar, S",10,OPEN,"CE
	"
552,MON 251,Sustainability Engrg Materials,2.00,96567,R05:10PM - 07:00PM,01/13/14 - 04/28/14,"Yuan, J",10,OPEN,"CE
	"
553,DUQUES 359,Structural Theory 2,3.00,90075,TR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Roddis, W",10,OPEN,"CE
	"
554,DUQUES 359,Reinforced Concrete Structures,3.00,90076,TR02:20PM - 03:35PM,01/13/14 - 04/28/14,"Badie, S",10,OPEN,"CE
	"
555,DUQUES 359,Envir Eng I:Water Resourc&Qual;,3.00,90894,MW12:45PM - 02:00PM,01/13/14 - 04/28/14,"Shuai, D",10,OPEN,"CE
	"
556,TOMP 208,Environmental Engineering Lab,1.00,92276,W02:20PM - 04:10PM,01/13/14 - 04/28/14,"Azam, H",10,CLOSED,"CE
	"
557,TOMP 208,Environmental Engineering Lab,1.00,93521,W04:10PM - 06:00PM,01/13/14 - 04/28/14,"Azam, H",11,OPEN,"CE
	"
558,TOMP 208,Environmental Engineering Lab,1.00,94351,F01:30PM - 03:20PM,01/13/14 - 04/28/14,"Azam, H",12,OPEN,"CE
	"
559,DUQUES 359,Hydraulics,3.00,90077,TR09:35AM - 10:50AM,01/13/14 - 04/28/14,"Farhadi, L",10,OPEN,"CE
	"
560,TOMP B02,Hydraulics Laboratory,1.00,91043,T03:40PM - 06:00PM,01/13/14 - 04/28/14,"Shen, J",10,CLOSED,"CE
	"
561,TOMP B02,Hydraulics Laboratory,1.00,94091,T06:10PM - 08:40PM,01/13/14 - 04/28/14,"Shen, J",11,OPEN,"CE
	"
562,TOMP B02,Hydraulics Laboratory,1.00,94352,W06:10PM - 08:40PM,01/13/14 - 04/28/14,"Shen, J",12,OPEN,"CE
	"
563,GELM B04,Contracts and Specifications,2.00,92536,W06:10PM - 08:40PM,01/13/14 - 04/28/14,"Ghavamifar, K",10,CLOSED,"CE
	"
564,TOMP 201,Design/Cost Analysis-CE Struct,3.00,93194,M08:30AM - 11:00AM,01/13/14 - 04/28/14,"Silva, P",10,OPEN,"CE
	"
565,TOMP 201,Recitation,0.00,93586,W09:35AM - 10:25AM,01/13/14 - 04/28/14,"Silva, P",30,OPEN,"CE
	"
566,MON 350,Intro Geoenvironmental Enginrg,3.00,96568,W12:45PM - 03:15PM,01/13/14 - 04/28/14,"Azam, H",10,OPEN,"CE
	"
567,,Research,1.00,90078,,01/13/14 - 04/28/14,,10,OPEN,"CE
	"
568,,Application of Probability,3.00,96569,,01/13/14 - 04/28/14,,10,CANCELLED,"CE
	"
569,OM 312ANDMON 353,"Politics,Society&Media;/Israel",3.00,93253,T09:35AM - 10:50AMANDR09:35AM - 10:50AM,01/13/14 - 04/28/14,"Yasur-Landau, D",10,OPEN,CLAS
570,MON 250,Iranian Cinema,3.00,94680,T12:45PM - 03:15PM,01/13/14 - 04/28/14,"Minuchehr, P",11,OPEN,CLAS
571,MON 251,Greek and Roman Drama,3.00,96759,MW03:45PM - 05:00PM,01/13/14 - 04/28/14,"Fisher, E",10,OPEN,CLAS
572,FNGR 210,The Roman World to 337 A.D.,3.00,95156,TR12:45PM - 02:00PM,01/13/14 - 04/28/14,"Funiciello, P; Smith, A",80,CLOSED,CLAS
573,MPA 310,The Roman World to 337 A.D.,3.00,95232,TR12:45PM - 02:00PM,01/13/14 - 04/28/14,"Funiciello, P; Smith, A",80,CLOSED,HIST
574,1957 E B12,AncientNearEast/Egypt to 322BC,3.00,96760,TR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Cline, E; Gibson, M",80,OPEN,CLAS
575,1957 E B12,Ancient Near East&Egypt-332BC;,3.00,96943,TR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Gibson, M; Cline, E",80,OPEN,HIST
576,GELM 609,Alexander the Great,3.00,96761,WF12:45PM - 02:00PM,01/13/14 - 04/28/14,"Cline, D",80,CLOSED,CLAS
577,GELM 609,Alexander the Great,3.00,96975,WF12:45PM - 02:00PM,01/13/14 - 04/28/14,"Cline, D",80,CLOSED,HIST
578,GELM 609,Greek and Roman Religion,3.00,96762,TR02:20PM - 03:35PM,01/13/14 - 04/28/14,"Wasdin, K",10,OPEN,CLAS
579,GELM 609,Archaeology of Roman Provinces,3.00,95157,WF11:10AM - 12:25PM,01/13/14 - 04/28/14,"Friedland, E",10,OPEN,CLAS
580,,Directed Project,1.00 TO   3.00,95048,,01/13/14 - 04/28/14,"Cline, E",10,OPEN,CLAS
581,,Directed Project,1.00 TO   3.00,91117,,01/13/14 - 04/28/14,"Cline, E",10,OPEN,CLAS
582,,Continuing Research - Masters,1.00,91669,,01/13/14 - 04/28/14,,10,OPEN,CCAS
583,,Continuing Research - Doctoral,1.00,91670,,01/13/14 - 04/28/14,,10,OPEN,CCAS
584,DUQUES 259,GWECP Advising,0.00,94976,F11:10AM - 12:25PM,01/13/14 - 04/28/14,"Harris, S",10,OPEN,CCAS
585,DUQUES 259,GWECP Advising,0.00,94977,F12:45PM - 03:15PM,01/13/14 - 04/28/14,"Harris, S",11,OPEN,CCAS
586,,Elective Internship,0.00 TO   3.00,93228,,01/13/14 - 04/28/14,"Weiner, A",10,OPEN,CCAS
587,MON 428,Bridging Public and Private,1.00,94063,T06:30PM - 09:00PM,01/13/14 - 04/28/14,"Kelts, S",10,OPEN,CCAS
588,,SpecialInterdisciplinaryTopics,1.00 TO   3.00,95057,,01/13/14 - 04/28/14,"Gamber, C",11,OPEN,CCAS
589,MON B33,Research in Science,1.00,97574,F02:30PM - 03:30PM,01/13/14 - 04/28/14,"Feldman, G; Medsker, L",12,OPEN,CCAS
590,,Faculty Guided Research:ITAL,3.00,94194,,01/13/14 - 04/28/14,"Westwater, L",10,OPEN,CCAS
591,,Faculty Guided Research:UW,3.00,94209,,01/13/14 - 04/28/14,"Smith, C",11,OPEN,CCAS
592,,Spec Interdisp Major Capstone,3.00,92566,,01/13/14 - 04/28/14,"Ullman, D",10,OPEN,CCAS
593,COR 101,Intro to Communication Studies,3.00,91599,MW09:35AM - 10:50AM,01/13/14 - 04/28/14,"Miller, J",10,OPEN,COMM
594,2020 K 14,Public Communication,3.00,95177,T12:45PM - 03:15PM,01/13/14 - 04/28/14,"Piatt, B",10,CLOSED,COMM
595,PHIL 348,Public Communication,3.00,90846,W07:10PM - 09:40PM,01/13/14 - 04/28/14,"Gilligan, B",11,OPEN,COMM
596,1957 E 112,Public Communication,3.00,90847,TR09:35AM - 10:50AM,01/13/14 - 04/28/14,"Ray, S",12,CLOSED,COMM
597,ROME B103,Public Communication,3.00,93098,TR04:45PM - 06:00PM,01/13/14 - 04/28/14,"Ray, S",13,CLOSED,COMM
598,ROME B103,Public Communication,3.00,93164,M03:30PM - 06:00PM,01/13/14 - 04/28/14,"Schumacher, A",14,OPEN,COMM
599,GOV 102,Public Communication,3.00,93524,T07:10PM - 09:40PM,01/13/14 - 04/28/14,"Scott, P",15,CLOSED,COMM
600,FNGR 208,Public Communication,3.00,93947,F12:45PM - 03:15PM,01/13/14 - 04/28/14,"Tomasovic, S",16,OPEN,COMM
601,PHIL 217,Public Communication,3.00,95757,MW08:00AM - 09:15AM,01/13/14 - 04/28/14,"Karimova, L",17,OPEN,COMM
602,PHIL 416,Public Communication,3.00,95758,R07:10PM - 09:40PM,01/13/14 - 04/28/14,"Tovares, R",18,OPEN,COMM
603,DUQUES 152,Public Communication,3.00,95759,MW08:00AM - 09:15AM,01/13/14 - 04/28/14,"Hodges, J",19,CLOSED,COMM
604,MON 451,Public Communication,3.00,95760,MW09:35AM - 10:50AM,01/13/14 - 04/28/14,"Karimova, L",20,CLOSED,COMM
605,BELL 105ANDROME 206,Public Communication,3.00,95855,T02:20PM - 03:35PMANDR02:20PM - 03:35PM,01/13/14 - 04/28/14,"Ray, S",21,CLOSED,COMM
606,ROME 201,Public Communication,3.00,96744,M07:10PM - 09:40PM,01/13/14 - 04/28/14,"Schumacher, A",22,CLOSED,COMM
607,ROME 350,Public Communication,3.00,96745,TR12:45PM - 02:00PM,01/13/14 - 04/28/14,"Clapp, C",23,OPEN,COMM
608,MPA 302,Public Communication,3.00,96746,W07:10PM - 09:40PM,01/13/14 - 04/28/14,"Bergman, S",24,CLOSED,COMM
609,PHIL 413,Public Communication,3.00,97590,M07:10PM - 09:40PM,01/13/14 - 04/28/14,"Hanke, P",25,OPEN,COMM
610,MON 353ANDBELL 106,Interpersonal Communication,3.00,91134,M04:45PM - 06:00PMANDW04:45PM - 06:00PM,01/13/14 - 04/28/14,"Weiner, A",10,OPEN,COMM
611,MON 451,Interpersonal Communication,3.00,91284,TR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Froemling, K",11,CLOSED,COMM
612,BELL 105,Interpersonal Communication,3.00,92907,TR11:10AM - 12:25PM,01/13/14 - 04/28/14,"van Iersel, E",12,OPEN,COMM
613,ROME 205,Applications Software,3.00,93440,M03:30PM - 06:00PM,01/13/14 - 04/28/14,"Shaban, H",10,CLOSED,CSCI
614,TOMP 410,Intro to Computers & Internet,3.00,91470,T06:10PM - 08:40PM,01/13/14 - 04/28/14,"Brenner, N",10,CLOSED,CSCI
615,GOV 103,Intro to Internet Technology,3.00,91519,R06:10PM - 08:40PM,01/13/14 - 04/28/14,"Vidrine, E",10,CLOSED,CSCI
616,ROME 205,Intro to Web Softwr Develpmnt,3.00,91593,W06:10PM - 08:40PM,01/13/14 - 04/28/14,"Brenner, N",10,CLOSED,CSCI
617,MPA 305,Intro to Software Development,3.00,92492,TR11:10AM - 12:25PM,01/13/14 - 04/28/14,"Bari, A",10,CLOSED,CSCI
618,TOMP 411,Laboratory,0.00,92493,M01:00PM - 03:00PM,01/13/14 - 04/28/14,"Chenari, S",30,CLOSED,CSCI
619,,Laboratory,0.00,95705,,01/13/14 - 04/28/14,,31,CANCELLED,CSCI
